time,latitude,longitude,temperature
29264,-65,-61,NaN
29264,-65,-59,NaN
29264,-65,-57,NaN
29264,-65,-55,NaN
29264,-65,-53,NaN
29264,-65,-51,NaN
29264,-65,-49,NaN
29264,-65,-47,NaN
29264,-65,-45,NaN
29264,-65,-43,NaN
29264,-65,-41,NaN
29264,-65,-39,NaN
29264,-65,-37,NaN
29264,-65,-35,NaN
29264,-65,-33,NaN
29264,-65,-31,NaN
29264,-65,-29,NaN
29264,-65,-27,0.140000
29264,-65,-25,0.140000
29264,-65,-23,0.140000
29264,-65,-21,0.120000
29264,-65,-19,0.120000
29264,-65,-17,-0.030000
29264,-65,-15,-0.030000
29264,-65,-13,-0.040000
29264,-65,-11,-0.040000
29264,-65,-9,-0.250000
29264,-65,-7,-0.460000
29264,-65,-5,-0.460000
29264,-65,-3,-0.470000
29264,-65,-1,-0.470000
29264,-65,1,-0.480000
29264,-65,3,-0.480000
29264,-65,5,-0.480000
29264,-65,7,-0.480000
29264,-65,9,-0.450000
29264,-65,11,-0.430000
29264,-65,13,-0.430000
29264,-65,15,-0.430000
29264,-65,17,-0.430000
29264,-65,19,-0.400000
29264,-65,21,-0.400000
29264,-65,23,-0.400000
29264,-65,25,-0.390000
29264,-65,27,-0.370000
29264,-65,29,-0.340000
29264,-65,31,-0.340000
29264,-65,33,-0.330000
29264,-65,35,-0.330000
29264,-65,37,-0.430000
29264,-65,39,-0.430000
29264,-65,41,-0.430000
29264,-65,43,-0.440000
29264,-65,45,-0.450000
29264,-65,47,-0.460000
29264,-65,49,-0.460000
29264,-65,51,-0.470000
29264,-65,53,-0.470000
29264,-65,55,-0.670000
29264,-65,57,-0.670000
29264,-65,59,-0.670000
29264,-65,61,-0.680000
29264,-65,63,-0.720000
29264,-65,65,-0.750000
29264,-65,67,-0.750000
29264,-65,69,-0.750000
29264,-65,71,-0.750000
29264,-65,73,-0.700000
29264,-65,75,-0.700000
29264,-65,77,-0.690000
29264,-65,79,-0.690000
29264,-65,81,-0.650000
29264,-65,83,-0.480000
29264,-65,85,-0.440000
29264,-65,87,-0.310000
29264,-65,89,-0.310000
29264,-65,91,-0.390000
29264,-65,93,-0.390000
29264,-65,95,-0.250000
29264,-65,97,-0.200000
29264,-65,99,-0.150000
29264,-65,101,-0.090000
29264,-65,103,-0.150000
29264,-65,105,-0.340000
29264,-65,107,-0.340000
29264,-65,109,-0.640000
29264,-65,111,-0.640000
29264,-65,113,-0.570000
29264,-65,115,-0.550000
29264,-65,117,-0.050000
29264,-65,119,0.460000
29264,-65,121,0.460000
29264,-65,123,0.490000
29264,-65,125,0.490000
29264,-65,127,1.000000
29264,-65,129,1.000000
29264,-65,131,1.060000
29264,-65,133,1.080000
29264,-65,135,1.200000
29264,-65,137,1.320000
29264,-65,139,1.320000
29264,-65,141,1.320000
29264,-65,143,1.320000
29264,-65,145,0.980000
29264,-65,147,0.980000
29264,-65,149,0.930000
29264,-65,151,0.910000
29264,-65,153,0.880000
29264,-65,155,0.710000
29264,-65,157,0.680000
29264,-65,159,0.580000
29264,-65,161,0.580000
29264,-65,163,0.360000
29264,-65,165,0.360000
29264,-65,167,0.360000
29264,-65,169,0.360000
29264,-65,171,0.290000
29264,-65,173,0.230000
29264,-65,175,0.230000
29264,-65,177,0.220000
29264,-65,179,0.220000
29264,-63,-179,0.250000
29264,-63,-177,0.250000
29264,-63,-175,0.170000
29264,-63,-173,0.140000
29264,-63,-171,0.160000
29264,-63,-169,0.180000
29264,-63,-167,0.180000
29264,-63,-165,0.180000
29264,-63,-163,0.180000
29264,-63,-161,0.150000
29264,-63,-159,0.150000
29264,-63,-157,0.210000
29264,-63,-155,0.220000
29264,-63,-153,0.340000
29264,-63,-151,0.450000
29264,-63,-149,0.520000
29264,-63,-147,0.710000
29264,-63,-145,0.710000
29264,-63,-143,0.730000
29264,-63,-141,0.730000
29264,-63,-139,0.820000
29264,-63,-137,0.850000
29264,-63,-135,0.950000
29264,-63,-133,1.060000
29264,-63,-131,1.070000
29264,-63,-129,1.110000
29264,-63,-127,1.110000
29264,-63,-125,1.120000
29264,-63,-123,1.120000
29264,-63,-121,1.220000
29264,-63,-119,1.250000
29264,-63,-117,1.380000
29264,-63,-115,1.510000
29264,-63,-113,1.570000
29264,-63,-111,1.760000
29264,-63,-109,1.760000
29264,-63,-107,2.000000
29264,-63,-105,2.000000
