"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bermuda","BMU","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","10.69286","","11.52198","","","","","","","","","","22.63716","","","","","35.10937","27.30661","23.01425","","","","","","1.85199","","","","","","","","","","","","13.48375","","","","18.23369","","","16.98494","","","",
"Bolivia","BOL","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.46756","","","21.43783","21.06649","22.07378","21.58902","23.5896","","18.92012","18.99504","16.66423","16.17167","15.91005","15.98869","16.39821","16.76335","17.303","18.60182","19.27436","21.454","","","","","",
"Barbados","BRB","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","13.18595","12.87168","13.01985","12.81771","","20.11263","22.70667","","","","","","","","","","","","","","19.81777","","","","","","","","32.10928","27.44123","29.06154","29.93282","28.6243","31.49998","31.57781","","30.17642","30.08956","29.90298","32.50573","","30.22184","37.02109","39.27677","","31.08689","28.54073","","","",
"Brunei Darussalam","BRN","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","5.47028","7.76357","9.68746","2.76511","3.66832","7.72218","6.37505","","9.24283","11.52899","15.26308","17.30924","12.93189","","","","","10.29651","10.46441","1.95287","10.23052","2.12122","1.67929","1.16546","","","","","","","","","","","","","","","","","24.37979","","","","31.92166","","18.8945","","","","",
"Bhutan","BTN","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","0","1.38906","","","33.8131","","","4.84863","6.32184","","","","","","","","","","","","","","","","","","","","","","","","","","14.06839","","","","13.23095","15.11068","11.0392","","","10.3284","","","","","","",
"Botswana","BWA","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","7.66942","11.61545","14.25127","14.18246","12.90432","12.70798","15.67831","14.2226","5.9374","13.80726","","","16.25707","15.40078","14.60521","18.86245","14.32899","10.78263","","19.1989","","14.61023","","","","","","","","","","","","","27.86688","","27.49449","","41.50944","","","","","","","","","","","",
"Central African Republic","CAF","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","16.47236","","","","","","","","18.75387","20.89812","","","21.2882","23.35783","","","","","","","","","","","","","","","22.81854","21.28217","17.48191","22.71604","20.47402","27.29113","","","","","","","","","",
"Canada","CAN","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","31.36184","31.36655","31.12949","30.71697","31.43102","31.438","29.61135","29.07323","30.57821","29.79349","29.90282","29.37821","30.06431","30.931","30.52069","31.02303","30.89166","30.8411","31.69809","31.81251","28.13155","30.75022","27.7808","34.57579","35.26796","","","31.00068","","","","","","","","","36.81221","34.44431","36.06861","35.38945","35.5994","","","","","","","","","",
"Central Europe and the Baltics","CEB","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.34233","17.472615","17.69536","17.31201","16.53592","","17.79538","17.34215","","20.04245","19.89271","19.65736","21.23072","21.00133","20.57252","21.74303","21.20481","21.021","21.73776","23.39252","22.604625","21.66633","21.64806","22.0921","20.5208","","","","",
